,auto_id,ID,Date,Company,Title,Location,Link
10,10,O+to0upSE1/pyk/SQVLF2Q==,2021-09-25,Citi,Data & Analytics Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-analyst-at-citi-2756832533?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=O%2Bto0upSE1%2Fpyk%2FSQVLF2Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,11,S0XMmXp9iIS6uK88fMpK9g==,2021-10-07,Grab,"Manager, Business Insights & Planning","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/manager-business-insights-planning-at-grab-2773770088?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=S0XMmXp9iIS6uK88fMpK9g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,12,YlWdwG25G3Ns2O3C+Lzwmw==,2021-09-19,Shopee,Business Intelligence Associate ( BD Team),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-associate-bd-team-at-shopee-2756433751?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=YlWdwG25G3Ns2O3C%2BLzwmw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,13,ctikGeyZXcCY58RAu7bV/g==,2021-10-03,Shopee,Business Intelligence - MKT Campaign,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-mkt-campaign-at-shopee-2776056931?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=ctikGeyZXcCY58RAu7bV%2Fg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,14,x5zwmdGgDRERRhW5jbD7vQ==,2021-10-23,Brainnest,Business Analysis Internship (Remote),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analysis-internship-remote-at-brainnest-2771119113?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=x5zwmdGgDRERRhW5jbD7vQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,15,5SCcvYxXqnLo5RYscS1ujw==,2021-10-24,Brainnest,Business Analysis Internship,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analysis-internship-at-brainnest-2771556602?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=5SCcvYxXqnLo5RYscS1ujw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,16,zAEYxcPz3NI2HmZU4Emzgw==,2021-10-22,Shopee,People Team - Reporting and Analytics,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/people-team-reporting-and-analytics-at-shopee-2733646488?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=zAEYxcPz3NI2HmZU4Emzgw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,17,FxewnnvjTFFRTEtxbJz/eQ==,2021-10-18,GSK,Business Intelligence Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-manager-at-gsk-2757244055?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=FxewnnvjTFFRTEtxbJz%2FeQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,18,O1GAIkPMWKEKZXGJi5BElQ==,2021-10-19,Shopee,ShopeeFood - Business Intelligence Analyst (Based in Kuala Lumpur),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-business-intelligence-analyst-based-in-kuala-lumpur-at-shopee-2755941450?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=O1GAIkPMWKEKZXGJi5BElQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,19,7PPCuZplLleVH7rZvhlPig==,2021-10-27,InnomizeTech,Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-at-innomizetech-2768493298?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=7PPCuZplLleVH7rZvhlPig%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,20,PU6VTjW4P3DKA97in9ObDQ==,2021-11-03,McDonald's Vietnam,Customer & Business Insights Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/customer-business-insights-analyst-at-mcdonald-s-vietnam-2746684336?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=PU6VTjW4P3DKA97in9ObDQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,21,eSwOLRX7HgVRlYTdmafcIQ==,2021-10-28,GeoComply,Junior Data Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/junior-data-analyst-at-geocomply-2777186985?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=eSwOLRX7HgVRlYTdmafcIQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,22,/Swq7CWReq+eWIUmdkLxqw==,2021-11-02,Intrepid Group Asia,Regional BI & Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/regional-bi-analytics-manager-at-intrepid-group-asia-2780309327?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=%2FSwq7CWReq%2BeWIUmdkLxqw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,23,no+CJrHPKRGuG+liJieBgg==,2021-11-03,Kompa,Social Insight Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/social-insight-analyst-at-kompa-2784081957?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=no%2BCJrHPKRGuG%2BliJieBgg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,24,5odfuimHx9ntxbXs2CQE0Q==,2021-10-27,MoMo (M_Service),Data Analyst (Junior/Senior/Lead),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-junior-senior-lead-at-momo-m-service-2731808057?refId=uPcGMrvL8yd%2F1qEhoj%2Fx3w%3D%3D&trackingId=5odfuimHx9ntxbXs2CQE0Q%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,25,8wrY3t/P2hLAL5bhzZ/mww==,2021-10-27,Vietstar Group Join Stock Company,"SENIOR CONSULTANT, ANALYTICS","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-consultant-analytics-at-vietstar-group-join-stock-company-2768864986?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=8wrY3t%2FP2hLAL5bhzZ%2Fmww%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,26,,2021-11-04,Client,Data Engineer,Vietnam,https://vn.linkedin.com/jobs/view/data-engineer-at-client-2778698222?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=fJAg9rgCqO3pz1IX1gD9Og%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,27,wcN9QYnd4jQUYtxMSqB60Q==,2021-10-19,Citi,Data Analytics Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analytics-manager-at-citi-2756836156?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=wcN9QYnd4jQUYtxMSqB60Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,28,Bcx08SIzpd/s3RhQBvnwvg==,2021-10-01,Grab,"Assistant Manager, Business Insights & Planning","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/assistant-manager-business-insights-planning-at-grab-2734812093?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=Bcx08SIzpd%2Fs3RhQBvnwvg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
31,31,Zgk+153XQG07gaowpqyw7g==,2021-11-02,Joon Solutions,Analytics Engineer,Vietnam,https://vn.linkedin.com/jobs/view/analytics-engineer-at-joon-solutions-2775944170?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=Zgk%2B153XQG07gaowpqyw7g%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
33,33,zyUF2KiQ4jKhAucbVB5l4g==,2021-11-02,Onpoint E-commerce,Business Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-at-onpoint-e-commerce-2775919262?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=zyUF2KiQ4jKhAucbVB5l4g%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
34,34,CtQDa5+2YZvpY+KJ8XhdiA==,2021-10-16,ZaloPay,Business Intelligence Analyst (Growth & Marketing),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-analyst-growth-marketing-at-zalopay-2751992755?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=CtQDa5%2B2YZvpY%2BKJ8XhdiA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
36,36,,2021-10-21,Vnshop,Business Intelligence/ Data Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-data-analyst-at-vnshop-2767619937?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=8hPqXN34ygjOqj5QfcQepA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,37,wFdyr1px9tSU1RkWmqgVZA==,2021-10-07,Grab,Data Processing Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-processing-analyst-at-grab-2774549040?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=wFdyr1px9tSU1RkWmqgVZA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,38,KXFi+DvVEhjCVaOfxe4oiw==,2021-11-02,Home Credit Vietnam,Senior Data Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-analyst-at-home-credit-vietnam-2775254858?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=KXFi%2BDvVEhjCVaOfxe4oiw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,39,,2021-10-01,Nguyễn Kim,Data Analysis Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analysis-manager-at-nguy%E1%BB%85n-kim-2773436680?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=9D5Gr6XELl%2Ffxj9NunaL%2Fg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,40,Tq7uDuG9Ma7UB3Ine1Sy+g==,2021-10-14,Mastercard,Senior Analyst,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-analyst-at-mastercard-2756312280?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=Tq7uDuG9Ma7UB3Ine1Sy%2Bg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,41,zEzszu9NHXQ4DqztjegNlQ==,2021-11-01,Sendo.vn,Finance Business Partner,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/finance-business-partner-at-sendo-vn-2773795054?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=zEzszu9NHXQ4DqztjegNlQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,42,,2021-11-01,Onpoint,SENIOR DATA ANALYSTS/BI,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-analysts-bi-at-onpoint-2780938543?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=jBblzNwbSCyhaRexpso7bg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,43,PAS++q7aRYCx0rNcuMzb1A==,2021-10-27,Shopee,Operational Excellence Associate,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/operational-excellence-associate-at-shopee-2768818451?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=PAS%2B%2Bq7aRYCx0rNcuMzb1A%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
48,48,oKxeStnN3BSM6HH7oQMR8Q==,2021-10-24,TPBank,Management Information System Analyst,Ho Chi Minh City Metropolitan Area,https://vn.linkedin.com/jobs/view/management-information-system-analyst-at-tpbank-2766054058?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=oKxeStnN3BSM6HH7oQMR8Q%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,49,,2021-10-21,Lazada Group,Vietnam - User Growth Data & Analytics,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/vietnam-user-growth-data-analytics-at-lazada-group-2716587295?refId=QDjMQEHrHudCUzIm%2FJ9dHA%3D%3D&trackingId=s0fJB%2FdE%2FxuKlwTcc1FfPw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,50,cpp8zu6bn6/pvbtW0mjw8w==,2021-10-21,JobHopin,Business Analyst (Business/Analytics),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-business-analytics-at-jobhopin-2722719213?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=cpp8zu6bn6%2FpvbtW0mjw8w%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,51,,2021-09-23,Home Credit Viet Nam,Business Intelligence Specialist,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-specialist-at-home-credit-viet-nam-2763847884?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=VB9xy%2FtNoMI0WSAPbqQawA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,52,COMs72MMsyRTmhXZbUvDjQ==,2021-11-01,Mekong One,NLP Data Scientist Intern,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/nlp-data-scientist-intern-at-mekong-one-2781160502?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=COMs72MMsyRTmhXZbUvDjQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
54,54,,2021-10-28,.,Data Specialist,Vietnam,https://vn.linkedin.com/jobs/view/data-specialist-at--2769476568?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=lGAMiDS6VSMfXN%2FDXKLA9Q%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,55,fAqwQ8wDWBTbqhTrTqrDKw==,2021-09-24,Robert Walters,Analytics Director,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/analytics-director-at-robert-walters-2765939527?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=fAqwQ8wDWBTbqhTrTqrDKw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,56,,2021-10-02,ShopeeFood,Business Intelligence Executive,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-executive-at-shopeefood-2774955560?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=hILIht9nxhGS%2FdDLYIoMpw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,57,t5rsAVxc+1q+ynti8J4ZzQ==,2021-10-12,Intel Corporation,Risk Management Intern (Finance Department),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/risk-management-intern-finance-department-at-intel-corporation-2746642991?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=t5rsAVxc%2B1q%2Bynti8J4ZzQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
60,60,pQgPu8NwNcFofH577K/QbA==,2021-11-01,WeTV SEA,"Business Intelligence Specialist (Ho Chi Minh City, Vietnam)","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-intelligence-specialist-ho-chi-minh-city-vietnam-at-wetv-sea-2773792986?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=pQgPu8NwNcFofH577K%2FQbA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,61,o8NHMdXwy69p/GiJ1wQk5A==,2021-10-13,HR1 Vietnam - Executive Search Firm,Senior Data Analyst (Level Expert),"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-data-analyst-level-expert-at-hr1-vietnam-executive-search-firm-2748407555?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=o8NHMdXwy69p%2FGiJ1wQk5A%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,62,DMII6GNtG3sJbCJHLbW8qQ==,2021-10-26,Lazada,"Senior Associate, Strategy & Planning","Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/senior-associate-strategy-planning-at-lazada-2767087017?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=DMII6GNtG3sJbCJHLbW8qQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,63,UfZxwwSsL8tbQDKaRH7Nnw==,2021-10-13,VEF Academy,Potential Data Analyst Candidate,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/potential-data-analyst-candidate-at-vef-academy-2733246562?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=UfZxwwSsL8tbQDKaRH7Nnw%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,64,eO7WlZZFL6DS7yfB3GoTuQ==,2021-10-27,Sonum International,Junior Business Consultant,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/junior-business-consultant-at-sonum-international-2775579078?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=eO7WlZZFL6DS7yfB3GoTuQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,65,,2021-09-06,Cho Tot,Business Analyst Intern,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-intern-at-cho-tot-2741669020?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=avyJUtCnw3s%2BTfiqnMTc2g%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
66,66,,2021-10-30,Advesa Digital Solutions,Data Analyst (Flexible time/attractive salary),"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-flexible-time-attractive-salary-at-advesa-digital-solutions-2779214930?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=Tz1u57agzxS%2FYyaFNSklcA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,67,SB3srvttTljBLYkrpiGoHw==,2021-10-23,Shopee,ShopeeFood - Budget & Planning - Business Intelligence Analyst (Associate/ Senior Associate),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/shopeefood-budget-planning-business-intelligence-analyst-associate-senior-associate-at-shopee-2734472769?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=SB3srvttTljBLYkrpiGoHw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
69,69,,2021-10-01,Mercedes-benz Vietnam Ltd.,"Manager, Data Strategist","Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/manager-data-strategist-at-mercedes-benz-vietnam-ltd-2741664106?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=tbh8KABVr1B%2FigiqBqQmKg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,70,XTGWX5EReucTTCc5/pteKQ==,2021-10-22,Generali Vietnam Life Insurance,Data Management & Business Analytics - Associate Manager,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-management-business-analytics-associate-manager-at-generali-vietnam-life-insurance-2759587925?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=XTGWX5EReucTTCc5%2FpteKQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,71,U2AebuY1RxVYXTvgHFYt3g==,2021-10-10,Techcombank (TCB),Senior Officer/Expert - Business Intelligence,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/senior-officer-expert-business-intelligence-at-techcombank-tcb-2743919281?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=U2AebuY1RxVYXTvgHFYt3g%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
73,73,k6v79MsgE4jgYK1lNJgbuA==,2021-10-14,Mirae Asset Finance Company Limited (Vietnam),Risk Analyst,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/risk-analyst-at-mirae-asset-finance-company-limited-vietnam-2749285295?refId=m4CQcg6vuyREeeDwLUjrlA%3D%3D&trackingId=k6v79MsgE4jgYK1lNJgbuA%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
77,77,3/F+Z/7GwHzaK5QoEW9zZQ==,2021-10-07,BIDV MetLife,"Agency Data Analysis & Reporting, Assistant Manager","Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/agency-data-analysis-reporting-assistant-manager-at-bidv-metlife-2748000559?refId=7ygMmKb6vAOSeRlvf5g7vg%3D%3D&trackingId=3%2FF%2BZ%2F7GwHzaK5QoEW9zZQ%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
79,79,tLs/lTWgCi0QwK0jfyWnTw==,2021-09-19,Traveloka,Data Analyst (Pay Later - Vietnam),"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/data-analyst-pay-later-vietnam-at-traveloka-2756468900?refId=7ygMmKb6vAOSeRlvf5g7vg%3D%3D&trackingId=tLs%2FlTWgCi0QwK0jfyWnTw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
