,Title,Company,Location,Link,Review
50,QA and Technical Assistance Analyst/Geomatics software,Effigis,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=c328b024028c0353&fccid=fad28344810db477&vjs=3,None
51,Business Analyst/Software Implementation,Trimble,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ea0eb3743e83a81f&fccid=41ffc18dec1f58bf&vjs=3,3.7
52,DÉVELOPPEUR(EUSE) WEB,K2 Geospatial,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=237765be93607b2f&fccid=de77721be393371e&vjs=3,5.0
53,"new
Data & Analytics - Senior Manager, Data & Analytics",Aritzia,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=762fd6910808d8da&fccid=230bf53df7c46c1a&vjs=3,3.4
54,Algorithm Developer,Hexagon Geosystems,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=66eb159814b9fb11&fccid=0a22ab36cf7af12f&vjs=3,3.9
55,SAR Mission Systems Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=00b25e2c0c3d39a2&fccid=11f7828cf965b07c&vjs=3,3.5
56,Intermediate Full Stack Software Engineer- Aviation,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=a189b1d2d2444f76&fccid=11f7828cf965b07c&vjs=3,3.5
57,Junior Embedded Software Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=86df6cb963fd09f4&fccid=11f7828cf965b07c&vjs=3,3.5
58,Telecommunications Field Technician,Cyient,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=16282bd3a9e9ced4&fccid=48337f40cc18bca7&vjs=3,3.5
59,GIS Developer (Front-End),Spatial DNA,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=be51aa9617e8d292&fccid=4b650ca6aae68a48&vjs=3,None
60,Augment software development team,STEP Software,"London, ON",https://ca.indeed.com/rc/clk?jk=18ff03e829bb5228&fccid=30326dd520919568&vjs=3,None
61,Software Developer,Teledyne CARIS,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=416f6bb6d9eaf13d&fccid=56fc1ffc1942e614&vjs=3,3.6
62,"Survey Software Test Engineer Intern, 12-Months",Trimble,Remote,https://ca.indeed.com/rc/clk?jk=4437d2ba91064559&fccid=41ffc18dec1f58bf&vjs=3,3.7
63,Forest Planning & Silviculture Co-op,Interfor Corporation,"Campbell River, BC",https://ca.indeed.com/rc/clk?jk=622e6dbb7b544c3b&fccid=9c6eb712ba3444eb&vjs=3,3.2
64,"new
SENIOR PLANNER TRANSPORTATION",City of Toronto,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=2e4cd7a043ae759a&fccid=f2087b51205d4920&vjs=3,4.2
65,Research Technician (UAV Specialist),University of Saskatchewan,Saskatchewan•Temporarily Remote,https://ca.indeed.com/rc/clk?jk=033a3fd221015b7f&fccid=318d62c673342e64&vjs=3,4.2
66,Intermediate Flight Dynamics Systems Engineer,MDA,"Longueuil, QC",https://ca.indeed.com/rc/clk?jk=1ff25df8ff00cf00&fccid=11f7828cf965b07c&vjs=3,3.5
67,FPGA Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=9fb6679edc5b4109&fccid=11f7828cf965b07c&vjs=3,3.5
68,BIM Discipline Leader,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=dbca2615f9470471&fccid=38c0d5e4f2a99768&vjs=3,4.1
69,Full Stack Web Developer,Remotely360,Remote,https://ca.indeed.com/rc/clk?jk=b995283d48b05dc0&fccid=392cfa8fe7f4c2a6&vjs=3,None
70,Business Development Director,Cyient,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=5f1d01f172e01baf&fccid=48337f40cc18bca7&vjs=3,3.5
71,Embedded Developer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=ec673db23937e325&fccid=11f7828cf965b07c&vjs=3,3.5
72,Geographic Information System (GIS) Specialist,McElhanney Ltd.,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=71643b79d8b637d1&fccid=ce625fe329965c2b&vjs=3,3.9
73,Structural Engineer,Cyient,"Labrador City, NL",https://ca.indeed.com/rc/clk?jk=3a9548b4082f9c12&fccid=48337f40cc18bca7&vjs=3,3.5
74,"Intermediate Engineer, Software Development",MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=abcdc53cbfd13cca&fccid=11f7828cf965b07c&vjs=3,3.5
75,Database Engineer,Lightspark,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=bc2911915c2e53df&fccid=06926f09c00964a3&vjs=3,None
76,Machine Learning Engineer,Enview,Ontario•Remote,https://ca.indeed.com/rc/clk?jk=14d83887493ad675&fccid=ef9f4d3ac03b3f46&vjs=3,None
77,"new
Actuarial Associate, Pension De-risking Group Annuity",RBC,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=63c58d6f1450f1e9&fccid=537b899e30af3338&vjs=3,4.0
78,GIS Account Manager,EagleView,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=a0d838d96b9c495d&fccid=3f11836ada2d0e87&vjs=3,None
79,Int Eng- MTS Satellite Operations,MDA,"Longueuil, QC",https://ca.indeed.com/rc/clk?jk=389d5997b596ce13&fccid=11f7828cf965b07c&vjs=3,3.5
80,"new
ISL 30R - Chapter Lead, DevOps",BC Public Service,"100 Mile House, BC",https://ca.indeed.com/rc/clk?jk=26bb063330eee906&fccid=65dd05622a756445&vjs=3,3.5
81,FME Developer,Spatial DNA,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=9d048938d2ff6a16&fccid=4b650ca6aae68a48&vjs=3,None
82,Sales Operations Analyst,Rizing,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=72fb406992af408a&fccid=180df733d49caedc&vjs=3,None
83,Application Analyst/Developer,Trimble,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=8c60c576cabba14c&fccid=41ffc18dec1f58bf&vjs=3,3.7
84,Field Lead,GeoDigital,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=c538e3975d16c102&fccid=95bb0e6150886869&vjs=3,None
85,"Supervisor, Records Services",Toronto Hydro,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=0aba21eefdd034cd&fccid=3c8d88ba21d4badb&vjs=3,4.1
86,Customer Service Advisor - Hydrography / Topography,Teledyne CARIS,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=435a0e40e9c2efdc&fccid=56fc1ffc1942e614&vjs=3,3.6
87,Business Development Specialist,i-Open Technologies,"Abbotsford, BC",https://ca.indeed.com/rc/clk?jk=ce0aef333057d176&fccid=b63e29db81b6f3e6&vjs=3,3.3
88,Civil Engineer,Effigis,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=3c175b018a6ae94d&fccid=fad28344810db477&vjs=3,None
89,Account Manager,Korem,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=2bdd3ff32e53136a&fccid=fd784f42735086ed&vjs=3,None
90,Structural BIM Designer,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=150a40d6cc43196a&fccid=38c0d5e4f2a99768&vjs=3,4.1
91,"Information and Data Analyst, Population Health Observatory",Fraser Health,"Surrey, BC",https://ca.indeed.com/rc/clk?jk=3dd87ff68f23b4f2&fccid=7b6e906d0289e400&vjs=3,3.7
92,Subcontracts / Program Manager,MDA,"Kanata, ON",https://ca.indeed.com/rc/clk?jk=0a033dc80098cbb4&fccid=11f7828cf965b07c&vjs=3,3.5
93,Transportation Planner,HDR,"Richmond Hill, ON",https://ca.indeed.com/rc/clk?jk=4b337b9b08567fc1&fccid=c3725c584175877c&vjs=3,3.8
94,Sr UAV Maintenance Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=f019478d7fdd7cbb&fccid=11f7828cf965b07c&vjs=3,3.5
95,Full Stack Developer,Lightspark,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ab78208495ea19ce&fccid=06926f09c00964a3&vjs=3,None
96,Java Full Stack Web Developer – Intermediate,Korem,"Quebec City, QC",https://ca.indeed.com/company/Korem/jobs/Java-Full-Stack-Web-Developer-Intermediate-9922f23eecedd17b?fccid=fd784f42735086ed&vjs=3,None
97,Intermediate Software Developer,MDA,"Dartmouth, NS",https://ca.indeed.com/rc/clk?jk=6190960f98019b94&fccid=11f7828cf965b07c&vjs=3,3.5
98,Data Engineer,StreetLight Data,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=512a04f77ed86787&fccid=5f86e3a9a70cf700&vjs=3,None
99,Senior Front-End Developer,Stantec,"Burnaby, BC+13 locations•Remote",https://ca.indeed.com/rc/clk?jk=e860b1de13980b53&fccid=f1582c464db8553b&vjs=3,3.7
100,Sr UAV Technician,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=56c54a2f2652bd2b&fccid=11f7828cf965b07c&vjs=3,3.5
101,Senior Contracts Specialist,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=0e9dd9b5aed8e8ee&fccid=11f7828cf965b07c&vjs=3,3.5
102,Product Management Director,Trimble,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=d007840fcf521648&fccid=41ffc18dec1f58bf&vjs=3,3.7
103,Senior Manager - Business Development - Americas region,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=c7c285b24c33192a&fccid=11f7828cf965b07c&vjs=3,3.5
104,Intermediate Software Developer,i-Open Technologies,"Chilliwack, BC",https://ca.indeed.com/rc/clk?jk=e3db6bdfe7ed3dc1&fccid=b63e29db81b6f3e6&vjs=3,3.3
105,Technical Lead,Cyient,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=b6301e47725f97be&fccid=48337f40cc18bca7&vjs=3,3.5
106,Senior Marketing Specialist,Stantec,"Toronto, ON+3 locations",https://ca.indeed.com/rc/clk?jk=a43250eef121e299&fccid=f1582c464db8553b&vjs=3,3.7
107,"Senior UX Designer - AWS Geospatial, Amazon Location Service",Amazon Dev Centre Canada ULC,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=13e7386559d1765c&fccid=fe2d21eef233e94a&vjs=3,3.5
108,Intermediate Software Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=79386660a68f9c0e&fccid=11f7828cf965b07c&vjs=3,3.5
109,Test and Integration Technician II,Teledyne Optech,"Vaughan, ON",https://ca.indeed.com/rc/clk?jk=1b695a67cc275db6&fccid=56fc1ffc1942e614&vjs=3,3.6
110,GIS Software Engineer,Trimble,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=77a2207466afc233&fccid=41ffc18dec1f58bf&vjs=3,3.7
111,"Contract: Human Resources Business Partner, Canada",Hexagon Geosystems,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=df5dee54355fb320&fccid=0a22ab36cf7af12f&vjs=3,3.9
112,Int Software Engineer,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=acf675ddae0e1c7d&fccid=11f7828cf965b07c&vjs=3,3.5
113,Enterprise Analyst II,Purolator,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=d5b17896d59948b7&fccid=2d41d5ad36e5177e&vjs=3,3.6
114,Mine Planning/Survey Student,Suncor Energy Services,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=244c3970ea54e0a9&fccid=e16ce774384b4169&vjs=3,4.0
115,Product Manager,Trimble,"Langley, BC",https://ca.indeed.com/rc/clk?jk=3f945621155579c6&fccid=41ffc18dec1f58bf&vjs=3,3.7
116,Solutions Architect and Business Analyst,Korem,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=321a5e2a866d8e7a&fccid=fd784f42735086ed&vjs=3,None
117,SAP iXp Intern - Associate Product Expert,SAP,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=14ae26f3650b5ac1&fccid=156c7820d1988640&vjs=3,4.3
118,Full Stack Developer,Teledyne CARIS,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=4dab32ff609cf3cf&fccid=56fc1ffc1942e614&vjs=3,3.6
119,Sr. Marketing Specialist,Hexagon PPM,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=58572861e672c5f2&fccid=75b68b024e9b14d7&vjs=3,3.3
120,GIS Solution Architect,Jacobs,"Burnaby, BC+1 location",https://ca.indeed.com/rc/clk?jk=5ddbf1521a88aa49&fccid=de56d7554bea5214&vjs=3,3.9
121,Product Analyst - Montreal,Zesty.ai,Quebec Province•Remote,https://ca.indeed.com/rc/clk?jk=66f488752899d054&fccid=46e789a2786c8da1&vjs=3,None
122,"new
Junior Design Technologist",CTQ Consultants,"Kelowna, BC",https://ca.indeed.com/rc/clk?jk=6dec811e30d9a8d4&fccid=30d868b2a80d03cb&vjs=3,None
123,"Open Source Intelligence Senior Associate, Forensic",Deloitte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c2eb201bbbaaa730&fccid=9e215d88a6b33622&vjs=3,4.0
124,Forensic Product Manager,Hexagon Geosystems,"Vancouver, BC+1 location",https://ca.indeed.com/rc/clk?jk=b344547038014309&fccid=0a22ab36cf7af12f&vjs=3,3.9
125,Content Marketing Specialist (North Vancouver),Hexagon Geosystems,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0354d0177e478391&fccid=0a22ab36cf7af12f&vjs=3,3.9
126,Intermediate Software Development Engineer- Java / C++,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=33d768af70e7ad5a&fccid=11f7828cf965b07c&vjs=3,3.5
127,"Senior Product Manager, Amazon Location Service",Amazon Dev Centre Canada ULC,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=9cfa3013bb317ba1&fccid=fe2d21eef233e94a&vjs=3,3.5
128,"Senior Marketing Specialist, Community Development",Stantec,"Guelph, ON+3 locations",https://ca.indeed.com/rc/clk?jk=a6bdeedc06aa1cd0&fccid=f1582c464db8553b&vjs=3,3.7
129,Project Manager - Remotely Piloted Aircraft System (RPAS),McElhanney Ltd.,Canada•Remote,https://ca.indeed.com/rc/clk?jk=4dbe205eb0557c10&fccid=ce625fe329965c2b&vjs=3,3.9
130,Senior Software Development Engineer/MTS,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=99b77495810dcb08&fccid=11f7828cf965b07c&vjs=3,3.5
131,"Sr Engineer/MTS, Systems (ILS) - Halifax or Ottawa location",MDA,"Dartmouth, NS",https://ca.indeed.com/rc/clk?jk=1fcc41bb9c7312ec&fccid=11f7828cf965b07c&vjs=3,3.5
132,Software Developer Engineer II,Expedia,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=8624c1380137f344&fccid=160efb82f2462f14&vjs=3,3.9
133,"Software Dev Manager, Amazon Location",Amazon Dev Centre Canada ULC,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f18ad2feb9341a30&fccid=fe2d21eef233e94a&vjs=3,3.5
134,Cloud Architect - Software Development,MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=1910dbcc3d94bd13&fccid=11f7828cf965b07c&vjs=3,3.5
135,Public Safety Product Manager,Hexagon Geosystems,"Kelowna, BC",https://ca.indeed.com/rc/clk?jk=5e61bf511030bd50&fccid=0a22ab36cf7af12f&vjs=3,3.9
136,"Senior Manager, Physical Distribution Spatial Analytics",BMO Financial Group,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=26acdd06ecd6cfc7&fccid=3a429036b3725efa&vjs=3,3.8
137,Senior Market Manager (Smart City - Private Sector),TELUS,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=3b29304e92bcf809&fccid=ed81336789a877c2&vjs=3,3.9
138,Senior Structural BIM Designer,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=eb07b5ca7f6fe4a7&fccid=38c0d5e4f2a99768&vjs=3,4.1
139,Systems Engineer (Software),MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=734607d3a5562010&fccid=11f7828cf965b07c&vjs=3,3.5
140,"Senior Developer Advocate, Amazon Location Service",Amazon Dev Centre Canada ULC,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=46e704dbce4c2c3a&fccid=fe2d21eef233e94a&vjs=3,3.5
141,"Senior Manager, Climate Change Scenario Modelling - Enterpri...",Scotiabank,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=5bf12afc083de324&fccid=3002307a9e5b4706&vjs=3,3.9
142,"Principal Product Manager, Amazon Location Service",Amazon Dev Centre Canada ULC,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=3a4e2aca4589ed4f&fccid=fe2d21eef233e94a&vjs=3,3.5
143,Senior Full Stack Web Developer,Kongsberg Geospatial,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=b7a4e8ad969a65f2&fccid=e98c26ebed040c45&vjs=3,None
144,"Senior Scientist, Environmental Health - BC Centre for Disea...",PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=db804ba9fc2c7a0f&fccid=f66f721a44de3765&vjs=3,3.2
145,Senior Civil BIM Designer,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=eb577dbf9131c7a7&fccid=38c0d5e4f2a99768&vjs=3,4.1
146,Senior Systems / Software Engineer,MDA,"Dartmouth, NS",https://ca.indeed.com/rc/clk?jk=8345f8e16d1efee2&fccid=11f7828cf965b07c&vjs=3,3.5
147,Land Development Project Manager,Stantec,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=f32c74ec135a3684&fccid=f1582c464db8553b&vjs=3,3.7
148,"Engineer/MTS, Software Development",MDA,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=0fd30e0c1e7082a5&fccid=11f7828cf965b07c&vjs=3,3.5
149,Senior Back-End Developer - Data Engineering,Local Logic,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=8ea7469743e6aa0a&fccid=155d54208de1b9b1&vjs=3,None
